"weight";"word";"color";"url"
"10";"Engineering";"";""
"10";"Software Development";"";""
"9";"C++";"";""
"9";"Java";"";""
"9";"Linux";"";""
"8";"Kubernetes";"";""
"8";"Leadership";"";""
"8";"Micronaut";"";""
"8";"Python";"";""
"8";"Spring Boot";"";""
"7";"ComputerArchitecture";"";""
"7";"Docker";"";""
"7";"Jenkins";"";""
"7";"Kafka";"";""
"7";"SQLite";"";""
"6";"Algorithms";"";""
"6";"Gitlab CI/CD";"";""
"6";"GraphQL";"";""
"6";"IoT";"";""
"6";"Network";"";""
"6";"Robotics";"";""
"6";"Shell Scripting";"";""
"6";"Teamwork";"";""
"5";"Git";"";""
"5";"MySQL";"";""
"5";"PostgreSQL";"";""
"5";"Programming";"";""
"5";"Reckoner";"";""
"4";"Bamboo";"";""
"4";"Boost";"";""
"4";"Cisco";"";""
"4";"JavaFX";"";""
"4";"Math";"";""
"4";"MongoDB";"";""
"4";"OpenGL";"";""
"4";"WebServices";"";""
"3";"Angular";"";""
"3";"ArtificialIntelligence";"";""
"3";"Computer Vision";"";""
"3";"ComputerScience";"";""
"3";"Data Mining";"";""
"3";"Drone";"";""
"3";"Security";"";""
"2";"Automation Tools";"";""
"2";"Django";"";""
"2";"Flex";"";""
"2";"LaTeX";"";""
"2";"MachineLearning";"";""
"2";"MATLAB";"";""
"2";"Microprocessor";"";""
"2";"Parallel Computing";"";""
"2";"Statistics";"";""
"2";"Telecommunications";"";""
"2";"UART";"";""
"2";"UML";"";""
"1";"ASP.NET";"";""
"1";"Assembly";"";""
"1";"Bison";"";""
"1";"C#";"";""
"1";"CherryPy";"";""
"1";"CUDA";"";""
"1";"Filesystem";"";""
"1";"GNS";"";""
"1";"Google";"";""
"1";"HTML";"";""
"1";"Javascript";"";""
"1";"Kinect";"";""
"1";"M2M";"";""
"1";"MIPS";"";""
"1";"Octave";"";""
"1";"OpenCV";"";""
"1";"Speech Recognition";"";""
"1";"SQL";"";""
"1";"Subversion";"";""
"1";"TestUnit";"";""
"1";"VHDL";"";""
"1";"Virtual Reality";"";""
"1";"Windows";"";""
"1";"X86";"";""
